review,BATTERY,CAMERA,GENERAL,SER&ACC,PERFORMANCE,DESIGN,FEATURES,PRICE,SCREEN,STORAGE
giá cả hợp lí,,,,,,,,positive,,
kiểu dáng cũng khá dễ thương,,,,,,positive,,,,
"giá tiền 17,990k",,,,,,,,neutral,,
" nói chung chơi game liên tục 4-5h, cpu khá nóng chắc do điểm chung của chip nó thế, máy bao mượt",,,,,positive,,,,,
chụp đêm hay thiếu sáng đẹp như pixel,,positive,,,,,,,,
bắt sóng wifi gì yếu thấy mồ,,,,,,,negative,,,
Còn cam thì mờ câm,,negative,,,,,,,,
K chơi game đc luôn,,,,,negative,,,,,
Phí tiền,,,,,,,,negative,,
K tư vấn mấy hãng khác gì hết. Lừa người,,,,negative,,,,,,
Cầm nắm rất chắc chắn,,,,,,positive,,,,
Hiển thị đẹp,,,,,,,,,positive,
ngoại hình đẹp,,,,,,positive,,,,
mọi thứ ok,,,positive,,,,,,,
pin tuột khá nhanh,negative,,,,,,,,,
Không có gì để chê đc,,,positive,,,,,,,
Người việt ủng hộ hàng Việt các bạn ơi . Đặt hàng 3ng đã nhận đc .Nv nhiệt tình vui vẻ rất thích,,,,positive,,,,,,
Đã mua tầm 2 tuần giá 10tr400 ngàn nay giảm còn 8tr7 quá thất vọng,,,,,,,,negative,,
lỗi bảo mật trên A71 cụ thệ là smarrt lock khi bỏ trong túi quần sẽ tự động mở khóa,,,,,,,negative,,,
máy khá ok,,,positive,,,,,,,
Cảm biến vân tay quá kém,,,,,,,negative,,,
 mọi chức năng khác đều rất ok,,,positive,,,,,,,
mọi thứ đều ổn,,,positive,,,,,,,
"snapdragon 450 thì tầm giá đó, còn phải cân nhắc",,,,,,,,negative,,
"Thiết kế đẹp chắc chắn, sang trọng với mặt lưng kính",,,,,,positive,,,,
hiệu năng khá,,,,,positive,,,,,
"viên pin 4000mAh mà thời gian sử dụng không tốt, pin tụt nhanh, nhất là khi chơi game pin tụt khá nhanh",,,,,negative,,,,,
ram 4G hơi chán,,,,,negative,,,,,
pin trâu,positive,,,,,,,,,
Chụp ảnh buổi tối kém,,negative,,,,,,,,
máy này ổn lắm,,,positive,,,,,,,
vân tay mượt,,,,,,,positive,,,
"Liên Quân bật cấu hình cao nhất vẫn mượt như thường, Pubg và Free Fire ổn. Chơi vài trận thì máy ấm ấm chứ ko nóng lắm đâu ạ",,,,,positive,,,,,
"pin trâu lắm, 1 lần sạc chơi suốt 27 tiếng",positive,,,,,,,,,
con máy giá tầm trung thì e thì quá ổn,,,positive,,,,,,,
Máy này quá mượt thấy k nóng gì cả,,,,,positive,,,,,
chụp hình quá OK,,positive,,,,,,,,
màn hình 90hz vuốt đã tay vãi,,,,,,,,,positive,
cập nhật vos3 thì bị lỗi khi chơi game và hay đột nhiên bị sập nguồn,,,,,negative,,,,,
Riêng con A51 phải cho 1 sao,,,negative,,,,,,,
"Khi trả lại, lại còn bị đòi lại quà đã tặng",,,,negative,,,,,,
Wifi kém hơn con a51,,,,,,,negative,,,
 còn lại ngon hết,,,positive,,,,,,,
sạc pin ko còn vào Ko phải tại cục sạc mà tại máy,negative,,,,,,,,,
find x2 nó chất như nàoĐang dùng và cảm nhận quá phê,,,positive,,,,,,,
Không nên mua,,,negative,,,,,,,
vân tay chán kinh khủng luôn,,,,,,,negative,,,
máy mượt,,,,,positive,,,,,
chụp ảnh siêu đẹp,,positive,,,,,,,,
pin hơi yếu xíu,negative,,,,,,,,,
nhìn chung là máy ok lắm,,,positive,,,,,,,
mua ip7plus được 3 tháng nhưng dung lượng pin chỉ còn 98%,negative,,,,,,,,,
Cấu hình ngang ssA50 6gb ram,,,,,neutral,,,,,
dùng giật hơn. Chậm hơn,,,,,negative,,,,,
Dc mỗi cái camera an ủi,,positive,,,,,,,,
 Tóm lại là thất vọng,,,negative,,,,,,,
quá tốt,,,positive,,,,,,,
"tốt ,quá tốt",,,positive,,,,,,,
không có sạc nhanh nếu có sạc nhanh mà thêm chút tiền nữa cũng được,negative,,,,,,,,,
Sp sài ok,,,positive,,,,,,,
vân tay phải canh mới mở dc,,,,,,,negative,,,
máy tải về cũng tốt,,,,,positive,,,,,
Pin thì ok,positive,,,,,,,,,
Youtobe đang coi chế độ màn rộng tự dưng nhỏ lại,,,,,negative,,,,,
Dt sạc đầy pin để cả ngày k dùng mà vẫn nhanh hết pin.m chi chơi game chút buổi tối thui cả ngày k dug mà toi ve con 20% pin,negative,,,,,,,,,
bề ngoài thì máy a10s này giống a8 star,,,,,,neutral,,,,
mọi thứ vẫn quá là hoàn hảo,,,positive,,,,,,,
Pin với các thứ vẫn ngon,positive,,,,,,,,,
Máy không bị đơ bao giờ,,,,,positive,,,,,
Máy hơi dày,,,,,,negative,,,,
lướt thao tác mượt OK,,,,,,,positive,,,
sạc cực nhanh pin tụt k quá nhanh,positive,,,,,,,,,
chạy game đặc biệt là pubg máy có tình trạng nóng và giật lag,,,,,negative,,,,,
Máy tốt,,,positive,,,,,,,
 chơi game ngon,,,,,positive,,,,,
camera đc,,positive,,,,,,,,
pin trâu,positive,,,,,,,,,
đáng giá tiền,,,,,,,,positive,,
mỗi tội không có sẵn ốp dẻo,,,,negative,,,,,,
Loa ngoài bé quá ạ...mở hết cỡ mà cũng thấy bé ạ,,,,,,,negative,,,
nhân viên ở đó phục vụ rất nhiệt tình,,,,positive,,,,,,
Âm thanh không hay,,,,,,,negative,,,
màn hình hiển thị độ nét cũng bình thường,,,,,,,,,neutral,
"Chỉ được thiết kế, mẫu mã nhìn cũng đẹp mắt",,,,,,positive,,,,
"nhận diện khuôn mặt, vân tay nhạy",,,,,,,positive,,,
Pin tụt nhanh quá khi không sử dụng,negative,,,,,,,,,
camera chụp ko rõ nét. Hơi mờ khi rom ảnh lại gần,,negative,,,,,,,,
Sp sd dùng mượt,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
chụp ảnh đẹp,,positive,,,,,,,,
"Chơi game mượt mà k giật lag, nhất là chơi rules",,,,,positive,,,,,
Máy màn hình đẹp,,,,,,,,,positive,
pin ổn,positive,,,,,,,,,
hiệu năng chơi game khá,,,,,positive,,,,,
camera ổn,,positive,,,,,,,,
sạc nhanh,positive,,,,,,,,,
wiffi mạnh,,,,,,,positive,,,
Nói chung tạm ổn trong tầm giá,,,neutral,,,,,,,
Hàng Nokia thì ok rồi,,,positive,,,,,,,
lq chạy ok,,,,,positive,,,,,
hợp túi tiền,,,,,,,,positive,,
giá rẻ,,,,,,,,positive,,
tôm lại là OK,,,positive,,,,,,,
thấy mọi thứ khá ổn đinh,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
xài mượt,,,,,positive,,,,,
 đi mưa bị rè cái loa gần camera selfie. chống nước mà vẫn phải sấy như địên thoại thường,,,,,,positive,,,,
cảm thấy thất vọng quá,,,negative,,,,,,,
8g. Cái đi đánh là mạng giật giật ko chịu nổi. Chán cái pig thì chap chờn,,,,,negative,,,,,
ko sạc nhanh,negative,,,,,,,,,
Còn chơi game thừa f11,,,,,negative,,,,,
"Em choi pubg mobile nó mượt lắm ạ, nhưng chơ nhìu nó vẫn bị nóng",,,,,neutral,,,,,
Máy vô cùng ưng ý,,,positive,,,,,,,
ngon mượt,,,,,positive,,,,,
ko có chplay và gg cũng xài tốt đầy đủ ứng dụng.good,,,,,,,positive,,,
Thiết kế máy đẹp,,,,,,positive,,,,
pin trâu hơn,positive,,,,,,,,,
camera kép chụp xóa phông đẹp,,positive,,,,,,,,
Hiệu nặng máy cũng mạnh hơn nhiều,,,,,positive,,,,,
Bắt wifi kém sau1 tháng sử dụng vân tay mở khóa thì chạm nhận diện thì ko được,,,,,,,negative,,,
sai khoản 1 tiếng có dấu hiệu đơ màng hình,,,,,negative,,,,,
máy tôi sạc chậm vãi. Gần 3h,negative,,,,,,,,,
Sản phẩm quá tốt,,,positive,,,,,,,
một con quái vật chơi game hiệu năng đỉnh cao chơi pubg và lq max setting luôn,,,,,positive,,,,,
dùng pin thì nhanh hết,negative,,,,,,,,,
vào mạng thì kém kinh,,,,,,,negative,,,
Nói thật khuyên các bạn đừng nên mua,,,negative,,,,,,,
Tôi rất hài lòng về sản phẩm,,,positive,,,,,,,
pin tuột nhanh vậy ạ. Lại còn sạc lâu hic,negative,,,,,,,,,
Tạm ổn,,,neutral,,,,,,,
sạc pin hơn 5 tiếng mới đầy pin.. rất tiếc không có chế độ sạc nhanh,negative,,,,,,,,,
Redmi9 là vua trong phân khúc giá này,,,positive,,,,,,,
máy mượt,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
chơi game ok,,,,,positive,,,,,
camera cũng đẹp,,neutral,,,,,,,,
xài không nóng máy,,,,,positive,,,,,
máy xài ngon,,,positive,,,,,,,
Camera ok,,positive,,,,,,,,
Pin đủ dùng 1 ngày,neutral,,,,,,,,,
Thiết kế đẹp và sang trọng,,,,,,positive,,,,
k chơi game nên xài rất ok,,,,,positive,,,,,
máy siêu mượt,,,,,positive,,,,,
Giá mềm,,,,,,,,positive,,
Câu hình khủng chơi game liên tục 10 tiếng rất mát máy,,,,,positive,,,,,
Đáng tiền mọi ng nên mua,,,positive,,,,,,,
Máy chụp hình đẹp,,positive,,,,,,,,
thiết kế đỉnh,,,,,,positive,,,,
"có chế độ siêu tiết kiệm pin, 5% pin chat whatapp 1,5 giờ phù hợp với những người lười và hay quên sạc như mình. Sạc Vooc thì ai dùng oppo thì biết rùi khỏi chê",positive,,,,,,,,,
vừa dùng vừa sạc không nóng máyy,,,,,positive,,,,,
Ncl mê tít,,,positive,,,,,,,
pin hay tụt nhanh lắm,negative,,,,,,,,,
"Độ hoàn thiện, thiết kế và cảm nhận khi dùng quá ổn",,,,,,positive,,,,
quá tuyệt,,,positive,,,,,,,
cảm thấy mọi thứ ổn,,,positive,,,,,,,
điện thoại còn có nhiều cái chưa ok lắm,,,negative,,,,,,,
Máy mua ok,,,positive,,,,,,,
dùng mượt chiến được mọi game nặng,,,,,positive,,,,,
Máy tầm trung note 8 pro ăn đứt mọi đối thủ trong phân khối tầm trung,,,positive,,,,,,,
sản phẩm rất tuyệt vời,,,positive,,,,,,,
ủng hộ thế giới Di động dài dài nhân viên phục vụ tận tình chu đáo,,,,positive,,,,,,
cảm thấy rất tuyệt,,,positive,,,,,,,
Pin trâu,positive,,,,,,,,,
ko lag hay giật,,,,,positive,,,,,
Camera ko đc đẹp lắm,,negative,,,,,,,,
"Chơi game, xem phim điều rất OK",,,,,positive,,,,,
"cam bị lỗi ko dùng được, mỗi lần mở là máy đơ xong bật lên thì đen thui. Khởi động máy thì lại được xong lại bị lại. Chán thế",,negative,,,,,,,,
Máy này cái gì cũng ổn,,,positive,,,,,,,
độ sáng chưa được cao,,,,,,,,,negative,
Máy tốt,,,positive,,,,,,,
mượt chơi game khá ổn,,,,,positive,,,,,
Máy chạy mượt,,,,,positive,,,,,
camera hơi kém sắc nét,,neutral,,,,,,,,
"không đòi hỏi gì thêm , còn lại là OK",,,positive,,,,,,,
Thật tuyệt,,,positive,,,,,,,
máy mượt,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
TGDĐ phục vụ nhiệt tình,,,,positive,,,,,,
Pin trâu,positive,,,,,,,,,
loa to,,,,,,,positive,,,
thích nhất dong ss . ko bao giờ là thất vọng dòng ss .đặc biệt là mua ở tgdd mấy anh chị nhân viên tư vấn rất nhiệt tình .mk sẽ ủng hộ dài dài,,,,positive,,,,,,
tụt 2% pin,negative,,,,,,,,,
còn lại ok,,,positive,,,,,,,
Màn hình tốt,,,,,,,,,positive,
mượt mà,,,,,positive,,,,,
cam bắt nét nhanh,,positive,,,,,,,,
nhân viên tiếp đón nhiệt tình,,,,positive,,,,,,
mua hôm 11/7 - sinh nhật TGDĐ được giảm tận 16%,,,,positive,,,,,,
mình thấy xài khá ok,,,positive,,,,,,,
cam chụp rất nét (dù mình không phải là người hay chụp ảnh nhưng theo mình thấy thì cực ổn),,positive,,,,,,,,
"Pin 4500 xài khá lâu, nếu chỉ dùng tác vụ cơ bản bình thường thì tầm 2 ngày mình sạc một lần, chơi game thì tầm 1 ngày",positive,,,,,,,,,
"mình cũng thử chơi mấy game nặng xem sao và thấy vẫn mượt, máy hơi ấm thôi không nóng lắm đâu =))) bạn nào hay chơi game mua thấy cũng ổn á",,,,,positive,,,,,
Vsmart joy 3 gặp lỗi pin nhé ae sạc tới mốc 75% tự báo đầy ko sạc tới 100% được,negative,,,,,,,,,
Máy thật sự nhanh nóng dù không chơi game,,,,,negative,,,,,
Pin được vài tuần đầu rồi về sau tụt không rõ lí do,negative,,,,,,,,,
"Nghe nhạc loa ngoài khá chán, nghe bằng tai nghe thì thi thoảng hay bị ngắt nhạc khá khó chịu",,,,,,,negative,,,
"chơi pubg để mức đồ hoạ thấp nhất chơi được đúng trận đầu tiên xong cũng ổn, vào trận thứ 2 trở đi cái máy nóng nhanh rồi lag giật",,,,,negative,,,,,
"Nhân viên tư vấn nhiệt tình, phục vụ khăn lạnh, nước uống đầy đủ. Còn nhân viên dán màn hình mặt trước, mặt sau cực kì xấu",,,,neutral,,,,,,
Mình đánh giá sản phẩm 5*,,,positive,,,,,,,
"Phục vụ tư vấn 5*, trang trí dán máy 3*",,,,neutral,,,,,,
pin khỏe,positive,,,,,,,,,
camera tốt,,positive,,,,,,,,
máy dùng mượt,,,,,positive,,,,,
màn hình quá đẹp,,,,,,,,,positive,
"nhất là android 10 dùng quá phê,chỉ dùng 1 nút home dùng quá tuyệt",,,,,positive,,,,,
mình cảm thấy thực sự xứng đáng đến từng xu,,,positive,,,,,,,
Tuyệt vời Samsung,,,,positive,,,,,,
"Máy rất gọn, đẹp",,,,,,positive,,,,
hộp đóng gói cẩn thận,,,,positive,,,,,,
"Thích nhất màu coral, độc lạ",,,,,,positive,,,,
máy dùng ngon với tác vụ cơ bản,,,positive,,,,,,,
"Con chíp tuy hiệu năng gần bằng vs snap 660 nhưng gpu không chất lượng. Nên chơi game chỉ gần băng vs snap 636 trên xiaomi note 5. Dù chấm điểm helio p60 là 27000 điểm, snap 16000 điểm",,,,,negative,,,,,
máy tự dưng hỏng came và đèn falas ntn,,,,,,,negative,,,
xài thấy rất tốt,,,positive,,,,,,,
4g mình bật 24/24 nhưng pin xài chỉ 70%,positive,,,,,,,,,
tất cả chức năng còn lại mình thấy rất mượt,,,,,positive,,,,,
mình rất hài lòng về sản phẩm,,,positive,,,,,,,
Máy chạy không bị nóng,,,,,positive,,,,,
Đã xài qua Xiaomi rồi nên vẫn mua lại Xiaomi,,,,positive,,,,,,
Điện thoại nhìn chung mượt mà,,,,,positive,,,,,
Pin chưa thấy hài lòng cho lắm,negative,,,,,,,,,
mua màu xanh vì quá đẹp,,,,,,positive,,,,
Sản phẩm tốt,,,positive,,,,,,,
xem video hình ảnh sắc nét rực rỡ,,,,,,,,,positive,
Máy chạy mượt,,,,,positive,,,,,
chụp hình nét và hơi nịnh mắt tí,,positive,,,,,,,,
"Sạc quá nhanh, 35p từ 1-100 phần trăm đã đầy",positive,,,,,,,,,
Nói chung hài lòng về sản phẩm,,,positive,,,,,,,
Máy dùng chán lắm,,,negative,,,,,,,
Nóng bừng bừng,,,,,negative,,,,,
dùng lúc nóng ran,,,,,negative,,,,,
chơi game không mượt bằng Xiaomi,,,,,negative,,,,,
Độ sáng màn hình hơi yếu,,,,,,,,,negative,
Còn lại ok tất,,,positive,,,,,,,
"Máy bị lag quá. Truy cập web bị giật, đọc tin tức mà chán",,,,,negative,,,,,
Pin tuột nhanh,negative,,,,,,,,,
Còn lại ok,,,positive,,,,,,,
Pin trâu,positive,,,,,,,,,
hiệu năng ổn,,,,,positive,,,,,
nắp lưng hở,,,,,,negative,,,,
màn hình có bóng mờ,,,,,,,,,negative,
có 1 số tính năng trênk j7 prime có mà cái này k có.. Điển hình như chia đôi màng hình,,,,,,,negative,,,
Máy thì hay nóng,,,,,negative,,,,,
không quá khắc khe thì máy rất ok,,,positive,,,,,,,
viền màn cảm ứng không nhạy cho lắm,,,,,,,negative,,,
máy xài tác vụ nhiều sẽ nóng,,,,,negative,,,,,
Pin xài 8 tiếng,,,,,,,neutral,,,
Mọi thứ còn lại rất ổn,,,positive,,,,,,,
Máy mau hêt pin . Sąc đây 100% sáng đě tői chiêu hêt 44%,negative,,,,,,,,,
Sản phẩm tốt,,,positive,,,,,,,
chơi game mượt 60fps,,,,,positive,,,,,
nhân viên phục vụ tốt,,,,positive,,,,,,
rất hài lòng,,,positive,,,,,,,
"giờ đánh liên quân giật tùm lum , mới đầu thì mượt",,,,,neutral,,,,,
giá vậy là tạm ổn rồi,,,neutral,,,,,,,
"Pin tốt, chơi liên tục đc hơn 4 tiếng",positive,,,,,,,,,
cảm biến vân tay khi dùng miếng dán kém,,,,,,,negative,,,
pin tuột hơi nhanh,negative,,,,,,,,,
camera đều rất ổn,,positive,,,,,,,,
còn lại về hiệu năng,,,,,positive,,,,,
chơi game ko ổn tý nào,,,,,negative,,,,,
 9tr2 mà chip Snapdragon 675 là quá tệ rồi thua con mi9t nửa,,,,,,,,negative,,
xài ok,,,positive,,,,,,,
pin đủ xài trong ngày,positive,,,,,,,,,
Đánh giá của mình là tốt,,,positive,,,,,,,
dòng này hiệu năng thì vô địch rồi,,,,,positive,,,,,
Cảm nhận thì là máy rất nhạy vân tay và cảm ứng,,,,,,,positive,,,
"pin trâu, sạc nhanh",positive,,,,,,,,,
Lúc đầu cảm thấy bắt wifi rất yếu nhưng khởi động lại máy thì thấy bắt wifi ổn hơn rất nhiều rồi,,,,,,,neutral,,,
nhân viên bán hàng khá thân thiện nên mình sẽ đánh giá 5 sao,,,,positive,,,,,,
máy rất là okela,,,positive,,,,,,,
Tôi dùng thấy oke mà,,,positive,,,,,,,
Chip tốt,,,,,positive,,,,,
nay giảm chỉ con 13290 ss rớt giá thê thảm,,,,,,,,negative,,
 xài cg ok,,,neutral,,,,,,,
 pin it lên mạng xài tầm dc 2ngay,negative,,,,,,,,,
"cảm ứng như nhiu ng đánh giá là k nhạy ,điểm này hơi tệ",,,,,,,negative,,,
 phần chụp hình m thích dòng củ hơn j7 ro 7prime j8 chụp m thich hơn,,negative,,,,,,,,
"Đẹp, phân vân với joy 3 nhưng cầm trực tiếp thì vivo hơn hẳn, đẹpppppppppppppppp",,,,,,positive,,,,
sp đẹp,,,,,,positive,,,,
camera cũng dc,,neutral,,,,,,,,
chức năng cũng tốt,,,,,,,positive,,,
liên quân thì combat hơi bị giật lag,,,,,negative,,,,,
"nghe gọi, youtube ok là đc",,,,,,,positive,,,
Máy xài mượt mà,,,,,positive,,,,,
"Máy xài rất tốt, mình mua dc 2 tuần rồi xài ổn định",,,positive,,,,,,,
pin lâu,positive,,,,,,,,,
chụp ảnh rất nét,,positive,,,,,,,,
nhân viên phục vụ oke,,,,positive,,,,,,
Máy đẹp,,,,,,positive,,,,
chay tốt,,,,,positive,,,,,
như vay la quá ok rồi,,,positive,,,,,,,
cập nhật lên Android 10 thì bắt đầu máy giật đơ màn hình,,,,,negative,,,,,
không thể cảm ứng,,,,,,,negative,,,
pin tuột nhanh,negative,,,,,,,,,
máy tự nóng bất thường,,,,,negative,,,,,
sạc rất lâu,negative,,,,,,,,,
Sản phẩm ổn,,,positive,,,,,,,
dùng cho nhu cầu giải trí và một vài công việc nhẹ nhàng thấy rất OK,,,,,positive,,,,,
Tiếc là camera hơi kém chút,,negative,,,,,,,,
Pin 5000 mà như 4000 mầu hết,negative,,,,,,,,,
Camara chụp xấu,,negative,,,,,,,,
Coi video hình ảnh màu sắc nhợt nhạt k đẹp,,,,,,,,,negative,
Chụp ảnh cứ bị ám vàng nghiêm trọng,,negative,,,,,,,,
Nhất là camera trước,,negative,,,,,,,,
redmi note 9S quá OK,,,positive,,,,,,,
cấu hình ổn,,,,,positive,,,,,
camera ổn,,positive,,,,,,,,
loa ổn,,,,,,,positive,,,
pin quá OK,positive,,,,,,,,,
"nhân viên tư vấn nhiệt tình,vui vẻ.Cám Ơn TGDD",,,,positive,,,,,,
pin tụt hơi nhanh,negative,,,,,,,,,
máy vào mạng rất chậm trong khi đang còn tốc độ cao.... chơi liên quân giật ping liên tục,,,,,,,negative,,,
còn mọi thứ khá ổn,,,positive,,,,,,,
khả năng bắt wifi cải thiện không đáng kể,,,,,,,positive,,,
phí tiền khi mua cái đt này,,,,,,,,negative,,
đt gì xem cái gì hở ra là quảng cáo. không tắt được. cứ phải thoát về màn hình chính.rồi vào lại đang nhập nhận xét mà nó cũng quảng cáo,,,,,negative,,,,,
bán xong thì phủi tay,,,,negative,,,,,,
mang ra thì nhân viên kêu đt nó quảng cáo như vậy,,,,negative,,,,,,
"ko nghe dc loa trong, phải bật loa ngoài mới đàm thoại đc",,,,,,,negative,,,
chơi game tụt pin khá nhanh,negative,,,,,,,,,
